keys,en,es,pt_BR,fr,de,it
splashTitle,Goblin Shift,Goblin Shift,Goblin Shift,Goblin Shift,Goblin Shift,Goblin Shift
splashDescription,Swipe. Merge. Survive.,Desliza. Combina. Sobrevive.,Deslize. Combine. Sobreviva.,Glissez. Fusionnez. Survivez.,Schieben. Kombinieren. Überleben.,Scorri. Unisci. Sopravvivi.
storyMode,Story Mode,Modo Historia,Modo História,Mode Histoire,Story-Modus,Modalità Storia
storyModeDesc,Create a Goblin(256) to win.,Crea un Goblin(256) para ganar.,Crie um Goblin(256) para vencer.,Créez un Gobelin(256) pour gagner.,"Erschaffe einen Goblin(256), um zu gewinnen.",Crea un Goblin(256) per vincere.
continueRun,Continue,Continuar,Continuar,Continuer,Fortsetzen,Continua
continueRunDesc,Resume your in-progress run.,Retoma tu partida en curso.,Retome sua partida em andamento.,Reprenez votre partie en cours.,Setze deinen laufenden Durchgang fort.,Riprendi la partita in corso.
endlessMode,Endless Mode,Modo Infinito,Modo Infinito,Mode Infini,Endlosmodus,Modalità Infinita
endlessModeDesc,Survive the endless goblin waves.,Sobrevive a las infinitas oleadas de goblins.,Sobreviva às ondas infinitas de goblins.,Survivez aux vagues infinies de gobelins.,Überlebe endlose Goblinwellen.,Sopravvivi a infinite ondate di goblin.
howToPlay,How to Play,Cómo Jugar,Como jogar,Comment jouer,Spielanleitung,Come giocare
upgradesAndProgress,Upgrades & Progression,Mejoras y Progresión,Melhorias e progresso,Améliorations et progression,Verbesserungen und Fortschritt,Potenziamenti e progressi
music,Music,Música,Música,Musique,Musik,Musica
headerTitle,Goblin Shift,Goblin Shift,Goblin Shift,Goblin Shift,Goblin Shift,Goblin Shift
headerSubtitle,Combine goblins to slay them.,Combina goblins para matarlos.,Combine goblins para derrotá-los.,Fusionnez les gobelins pour les vaincre.,"Kombiniere Goblins, um sie zu besiegen.",Unisci i goblin per sconfiggerli.
newGame,New Game,Nuevo Juego,Novo jogo,Nouvelle partie,Neues Spiel,Nuova partita
openMenu,Open Menu,Abrir Menú,Abrir menu,Ouvrir le menu,Menü öffnen,Apri menu
score,Score,Puntuación,Pontuação,Score,Punkte,Punteggio
gold,Gold,Oro,Ouro,Or,Gold,Oro
level,Level,Nivel,Nível,Niveau,Stufe,Livello
totalXp,Total XP,XP Total,XP total,XP totale,Gesamt-XP,XP totali
killsToLevel,to Lvl,para Nvl,para subir de nível,avant le prochain niveau,bis zum Stufenaufstieg,al prossimo livello
movesUntilAttack,moves,movimientos,movimentos,coups,Züge,mosse
itemsAndUpgrades,Items & Upgrades,Objetos y Mejoras,Itens e melhorias,Objets et améliorations,Gegenstände und Verbesserungen,Oggetti e potenziamenti
combineDamageBonus,Combine Damage Bonus,Bonus de Daño por Combinar,Bônus de dano ao combinar,Bonus de dégâts de fusion,Zusätzlicher Kombinationsschaden,Danni aggiuntivi dalle fusioni
damageReduction,Damage Reduction,Reducción de Daño,Redução de dano,Réduction des dégâts,Schadensreduktion,Riduzione dei danni
useRope,Use Rope,Usar Cuerda,Usar corda,Utiliser la corde,Seil benutzen,Usa corda
moveGoblin,Move a goblin to an empty space.,Mueve un goblin a un espacio vacío.,Mova um goblin para um espaço vazio.,Déplacez un gobelin vers une case vide.,Verschiebe einen Goblin auf ein freies Feld.,Sposta un goblin su una casella vuota.
use,Use,Usar,Usar,Utiliser,Nutzen,Usa
active,Active,Activo,Ativo,Actif,Aktiv,Attivo
inactive,Inactive,Inactivo,Inativo,Inactif,Inaktiv,Inattivo
showInactiveUpgrades,Show Inactive Upgrades,Mostrar Mejoras Inactivas,Mostrar melhorias inativas,Afficher les améliorations inactives,Inaktive Verbesserungen anzeigen,Mostra potenziamenti inattivi
victory,Victory!,¡Victoria!,Vitória!,Victoire !,Sieg!,Vittoria!
gameOver,Game Over,Fin del Juego,Fim de jogo,Partie terminée,Spiel vorbei,Fine partita
finalScore,Your final score is,Tu puntuación final es,Pontuação final,Score final,Endpunktzahl,Punteggio finale
runSummary,Run Summary,Resumen de la Partida,Resumo da partida,Bilan de la partie,Zusammenfassung,Riepilogo partita
time,Time,Tiempo,Tempo,Temps,Zeit,Tempo
goblinsSlain,Goblins Slain,Goblins Eliminados,Goblins derrotados,Gobelins vaincus,Besiegte Goblins,Goblin sconfitti
xpEarned,XP Earned,XP Ganada,XP obtida,XP gagnée,Verdiente XP,XP ottenuti
playAgain,Play Again,Jugar de Nuevo,Jogar de novo,Rejouer,Erneut spielen,Gioca ancora
slayAgain,Slay Again,Matar de Nuevo,Caçar de novo,Repartir à la chasse,Erneut jagen,Torna a caccia
leaderboardTitle,Story Mode Leaderboard,Clasificación Modo Historia,Recordes do Modo História,Classement Histoire,Story-Bestenliste,Classifica Storia
leaderboardDesc,Top 10 fastest times to defeat the Goblin Lord.,Los 10 mejores tiempos para derrotar al Señor Goblin.,Os 10 melhores tempos para derrotar o Lorde Goblin.,Les 10 meilleurs temps pour vaincre le Seigneur gobelin.,Die 10 schnellsten Siege über den Goblinfürsten.,I 10 tempi migliori per sconfiggere il Signore dei Goblin.
rank,Rank,Rango,Posição,Rang,Rang,Posizione
date,Date,Fecha,Data,Date,Datum,Data
kills,Kills,Muertes,Abates,Éliminations,Besiegt,Uccisioni
noVictories,No victories yet. Be the first!,Aún no hay victorias. ¡Sé el primero!,Nenhuma vitória ainda. Seja o primeiro!,Aucune victoire pour le moment. À vous de jouer !,Noch keine Siege. Hol dir den ersten!,Ancora nessuna vittoria. Conquista la prima!
close,Close,Cerrar,Fechar,Fermer,Schließen,Chiudi
